,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
2140,5b40605c57c41002aa12e1f6,1,0,0,0,0,Drone Show Coin
1935,5b40605c57c41002aa12e129,1,0,0,0,0,DropAnswer
1867,5b40605c57c41002aa12e0e5,1,0,0,0,0,DropDeck
1188,5b40605c57c41002aa12de3e,1,0,0,0,0,Dropd
1320,5b40605c57c41002aa12dec2,1,1,1,0,0,Dropil
883,5b40605c57c41002aa12dd0d,1,0,0,0,0,Dubailancers Token
1409,5b40605c57c41002aa12df1b,1,0,0,0,0,Dubtokens
3,5b40605c57c41002aa12d99d,1,0,0,0,0,Dynatiq
1388,5b40605c57c41002aa12df06,1,0,0,0,0,Dyron
245,5b40605c57c41002aa12da8f,1,0,0,0,0,Dysnomia
2261,5b40605c57c41002aa12e26f,1,1,0,0,0,EA Coin
1603,5b40605c57c41002aa12dfdd,1,0,1,0,0,EBCoin
1654,5b40605c57c41002aa12e010,1,0,0,0,0,ECOMCASH
471,5b40605c57c41002aa12db71,0,0,0,0,0,ECOS
341,5b40605c57c41002aa12daef,0,0,0,0,0,ECX Exchange
765,5b40605c57c41002aa12dc97,1,0,0,0,0,EGamerNation
61,5b40605c57c41002aa12d9d7,1,0,0,0,0,EHO
632,5b40605c57c41002aa12dc12,1,0,0,0,0,ELAD
1535,5b40605c57c41002aa12df99,1,0,0,0,0,ELCoin 
2457,5b40605c57c41002aa12e333,1,0,0,0,0,EMPIRE CARD
1261,5b40605c57c41002aa12de87,1,0,0,0,0,EMU Project
423,5b40605c57c41002aa12db41,0,0,0,0,0,ENTRY
576,5b40605c57c41002aa12dbda,1,1,1,1,0,EOS
1227,5b40605c57c41002aa12de65,1,0,0,0,0,EOZ
1528,5b40605c57c41002aa12df92,1,0,0,0,0,EPOCH
1312,5b40605c57c41002aa12deba,1,0,0,0,0,EPOS
1075,5b40605c57c41002aa12ddcd,1,0,1,0,0,EQUI
932,5b40605c57c41002aa12dd3e,1,0,0,0,0,ERC20Connect
2394,5b40605c57c41002aa12e2f4,1,0,0,0,0,ESR Wallet
2093,5b40605c57c41002aa12e1c7,1,0,0,0,0,ETH Lottery
2413,5b40605c57c41002aa12e307,1,0,0,0,0,ETH888
1633,5b40605c57c41002aa12dffb,1,0,0,0,0,ETHACE
2299,5b40605c57c41002aa12e295,0,0,0,0,0,ETHBOOKS (SCAM)
1972,5b40605c57c41002aa12e14e,1,1,1,1,0,ETHLend
1440,5b40605c57c41002aa12df3a,1,1,0,0,0,ETHORSE
383,5b40605c57c41002aa12db19,0,0,0,0,0,EVEN
288,5b40605c57c41002aa12daba,0,0,0,0,0,EVO 
125,5b40605c57c41002aa12da17,1,0,0,0,0,EXCHAIN
655,5b40605c57c41002aa12dc29,1,0,0,0,0,EXMO Coin
731,5b40605c57c41002aa12dc75,1,0,0,0,0,EXXO Exchange
2077,5b40605c57c41002aa12e1b7,1,0,1,0,0,EZMarket
1931,5b40605c57c41002aa12e125,1,1,1,0,0,Earth Token
104,5b40605c57c41002aa12da02,1,0,0,0,0,Easy Life Coin
1468,5b40605c57c41002aa12df56,1,0,0,0,0,Eco Wealth Foundation 
2388,5b40605c57c41002aa12e2ee,1,0,0,0,0,EcoGreenHouse
1763,5b40605c57c41002aa12e07d,1,0,0,0,0,EcoWaterAir
174,5b40605c57c41002aa12da48,1,0,0,0,0,Ecosystem Blockchain Applications
1327,5b40605c57c41002aa12dec9,1,0,0,0,0,EdCoin
567,5b40605c57c41002aa12dbd1,1,0,0,0,0,EdenChain
2615,5b40605d57c41002aa12e3d1,1,1,1,1,0,Edgeless
2291,5b40605c57c41002aa12e28d,1,0,0,0,0,Eggs Datacenter
2320,5b40605c57c41002aa12e2aa,1,1,1,1,0,Eidoo
727,5b40605c57c41002aa12dc71,1,0,0,0,0,EiraCube
825,5b40605c57c41002aa12dcd3,1,0,0,0,0,Eitcoin
1245,5b40605c57c41002aa12de77,1,0,0,0,0,ElectionCoin
1350,5b40605c57c41002aa12dee0,1,1,1,1,0,Electrify.Asia
1543,5b40605c57c41002aa12dfa1,1,0,0,0,0,Electron World Money
2235,5b40605c57c41002aa12e255,1,1,1,0,0,Electroneum
1340,5b40605c57c41002aa12ded6,1,0,0,0,0,Electronic Bill System 
882,5b40605c57c41002aa12dd0c,1,0,0,0,0,Elementh
1757,5b40605c57c41002aa12e077,1,0,0,0,0,Elige.re
1036,5b40605c57c41002aa12dda6,1,0,1,0,0,Eligma
2164,5b40605c57c41002aa12e20e,1,0,0,0,0,Elite 888 Token
881,5b40605c57c41002aa12dd0b,1,0,0,0,0,Ellcrys
2138,5b40605c57c41002aa12e1f4,1,0,0,0,0,EloPlay 
1159,5b40605c57c41002aa12de21,1,0,0,0,0,Elpis Investments
2183,5b40605c57c41002aa12e221,1,1,1,0,0,Emphy
851,5b40605c57c41002aa12dced,1,0,0,0,0,Emyron Coin
2571,5b40605d57c41002aa12e3a5,1,1,1,0,0,Encrypgen
2602,5b40605d57c41002aa12e3c4,1,0,1,0,0,EncryptoTel
1395,5b40605c57c41002aa12df0d,1,0,0,0,0,Energi Mine
2015,5b40605c57c41002aa12e179,1,0,0,0,0,Energizium
939,5b40605c57c41002aa12dd45,1,0,0,0,0,Energy Premier
572,5b40605c57c41002aa12dbd6,1,0,0,0,0,Engagement Token
2003,5b40605c57c41002aa12e16d,1,0,0,0,0,Engraved
2355,5b40605c57c41002aa12e2cd,1,1,1,1,0,Enigma
2216,5b40605c57c41002aa12e242,1,1,1,1,0,Enjin Coin
1683,5b40605c57c41002aa12e02d,1,0,0,0,0,Enjoy Life
223,5b40605c57c41002aa12da79,1,0,0,0,0,Enlte 
1256,5b40605c57c41002aa12de82,1,0,0,0,0,Epocum
1006,5b40605c57c41002aa12dd88,1,0,0,0,0,Epsilon
681,5b40605c57c41002aa12dc43,1,0,0,0,0,Equitybase
1810,5b40605c57c41002aa12e0ac,1,0,1,0,0,Eristica
2137,5b40605c57c41002aa12e1f3,1,1,1,0,0,ErosCoin
1385,5b40605c57c41002aa12df03,1,0,0,0,0,Erotix
1424,5b40605c57c41002aa12df2a,1,0,0,0,0,Escape Token
516,5b40605c57c41002aa12db9e,0,0,0,0,0,EscrowBlock
1244,5b40605c57c41002aa12de76,1,0,0,0,0,Esonics
2028,5b40605c57c41002aa12e186,1,0,1,0,0,Esports.com
2346,5b40605c57c41002aa12e2c4,1,0,0,0,0,Estate Coin
1970,5b40605c57c41002aa12e14c,1,0,0,0,0,EstateCoin Fund
172,5b40605c57c41002aa12da46,1,0,0,0,0,EtainPower
2358,5b40605c57c41002aa12e2d0,1,0,0,0,0,Etch
1233,5b40605c57c41002aa12de6b,1,0,0,0,0,Eterbank
374,5b40605c57c41002aa12db10,0,0,0,0,0,Eternal Trusts
1592,5b40605c57c41002aa12dfd2,1,0,0,0,0,EternalNode
338,5b40605c57c41002aa12daec,0,0,0,0,0,Eth Mark
1202,5b40605c57c41002aa12de4c,1,0,0,0,0,EthNextCOIN
390,5b40605c57c41002aa12db20,0,0,0,0,0,Ethbay
2396,5b40605c57c41002aa12e2f6,1,1,1,0,0,Ethbet
2604,5b40605d57c41002aa12e3c6,1,1,1,0,0,Ethbits
552,5b40605c57c41002aa12dbc2,1,0,0,0,0,Etheera
328,5b40605c57c41002aa12dae2,0,0,0,0,0,EtherCom
1897,5b40605c57c41002aa12e103,1,0,0,0,0,EtherFlyer
324,5b40605c57c41002aa12dade,0,0,0,0,0,EtherInc
1504,5b40605c57c41002aa12df7a,1,0,0,0,0,EtherLend 
929,5b40605c57c41002aa12dd3b,1,0,0,0,0,EtherSpin
129,5b40605c57c41002aa12da1b,1,0,0,0,0,EtherSport
2357,5b40605c57c41002aa12e2cf,1,0,0,0,0,EtherSportz 
1061,5b40605c57c41002aa12ddbf,1,0,0,0,0,Ethera Coin
1839,5b40605c57c41002aa12e0c9,1,0,0,0,0,Ethercloud
1885,5b40605c57c41002aa12e0f7,1,1,1,0,0,Etherecash
1850,5b40605c57c41002aa12e0d4,1,0,0,0,0,Ethereum High
709,5b40605c57c41002aa12dc5f,1,0,0,0,0,Ethereum Premium ICO
637,5b40605c57c41002aa12dc17,1,0,0,0,0,Ethereum Slot Machine
2323,5b40605c57c41002aa12e2ad,1,0,0,0,0,Etherparty 
1303,5b40605c57c41002aa12deb1,1,0,0,0,0,Ethic Hub
2373,5b40605c57c41002aa12e2df,1,0,0,0,0,Ethino
1161,5b40605c57c41002aa12de23,1,0,1,0,0,Eticket4
278,5b40605c57c41002aa12dab0,0,0,0,0,0,European Crypto Bank
835,5b40605c57c41002aa12dcdd,1,0,0,0,0,Evareium
2329,5b40605c57c41002aa12e2b3,1,0,1,0,0,EvenCoin
2434,5b40605c57c41002aa12e31c,1,1,1,0,0,EventChain
26,5b40605c57c41002aa12d9b4,1,0,0,0,0,Eventum
2497,5b40605c57c41002aa12e35b,1,1,1,1,0,Everex
1537,5b40605c57c41002aa12df9b,1,0,0,0,0,Evitan
960,5b40605c57c41002aa12dd5a,1,0,0,0,0,ExChain
2083,5b40605c57c41002aa12e1bd,1,0,0,0,0,ExHasta
1797,5b40605c57c41002aa12e09f,1,0,0,0,0,Exacoin 
2511,5b40605c57c41002aa12e369,1,1,1,0,0,Exchange Union
1187,5b40605c57c41002aa12de3d,1,0,0,0,0,Exenium
1392,5b40605c57c41002aa12df0a,1,0,0,0,0,ExpeBase 
228,5b40605c57c41002aa12da7e,1,0,0,0,0,Expercoin
2361,5b40605c57c41002aa12e2d3,1,0,0,0,0,Explore 
2598,5b40605d57c41002aa12e3c0,1,0,1,0,0,Exscudo
1890,5b40605c57c41002aa12e0fc,1,0,0,0,0,ExsulCoin
651,5b40605c57c41002aa12dc25,1,0,0,0,0,Extra Credit
379,5b40605c57c41002aa12db15,0,0,0,0,0,Extralovers
2047,5b40605c57c41002aa12e199,1,0,0,0,0,Extreme Sportsbook 
1780,5b40605c57c41002aa12e08e,1,0,0,0,0,Exxor
32,5b40605c57c41002aa12d9ba,1,0,0,0,0,FABA
826,5b40605c57c41002aa12dcd4,1,0,0,0,0,FAIMA
1251,5b40605c57c41002aa12de7d,1,0,0,0,0,FCFL
980,5b40605c57c41002aa12dd6e,1,0,1,0,0,FIC Network
29,5b40605c57c41002aa12d9b7,1,0,0,0,0,FIDUXA
1513,5b40605c57c41002aa12df83,1,0,0,0,0,FINIX COIN
1483,5b40605c57c41002aa12df65,1,0,1,0,0,FIRELOTTO
