,close_date,close_date
,min,max
name,,
PolySwarm,2018-04-30,2018-07-08
Polybius,2017-06-10,2018-07-08
Populous,2017-10-24,2018-07-08
Power Ledger,2017-11-02,2018-07-08
Presearch,2018-01-02,2018-07-08
Primalbase,2017-08-02,2018-07-08
Privatix,2017-12-30,2018-07-08
Propy,2015-04-02,2018-07-08
Publica,2017-11-23,2018-07-08
Pundi X,2018-05-14,2018-07-08
Qbao,2018-01-30,2018-07-08
Qtum,2018-07-06,2018-07-06
Quantstamp,2017-11-29,2018-07-08
Qvolta,2017-10-22,2018-07-08
RAcoin,2017-12-07,2018-07-08
REAL,2017-10-08,2018-07-08
REFTOKEN,2018-07-06,2018-07-06
REMME,2018-03-16,2018-07-08
Raiden Network,2017-11-15,2018-07-08
Reality Clash,2017-10-15,2018-07-08
Refereum,2018-03-06,2018-07-08
Regalcoin,2014-07-31,2018-07-08
Rentberry,2018-04-10,2018-07-08
Request Network,2017-10-21,2018-07-08
Revain,2017-09-21,2018-07-08
Ripio,2017-05-26,2018-07-08
Robotina,2015-01-27,2018-07-08
RootProject,2017-07-18,2018-07-08
SALPay,2018-07-06,2018-07-06
SENSE,2018-07-06,2018-07-06
SETHER,2018-07-06,2018-07-06
SPINDLE,2018-07-06,2018-07-06
SRCoin,2018-07-06,2018-07-06
STK Token,2018-02-07,2018-07-08
STeX,2018-07-06,2018-07-06
Santiment,2017-07-12,2018-07-08
Sentinel Chain,2018-04-30,2018-07-08
Sentinel Protocol,2018-07-05,2018-07-08
Sharpe Capital,2018-04-19,2018-07-08
Simple Token,2018-01-05,2018-07-08
SkinCoin,2018-07-06,2018-07-06
Skrumble Network,2018-06-04,2018-07-08
SmartBillions,2017-10-15,2018-07-08
Smartlands,2018-07-06,2018-07-06
Snovio,2017-12-09,2018-07-08
Solar DAO,2017-12-21,2018-07-08
Soma,2018-02-08,2018-07-08
Sonm,2018-07-06,2018-07-06
SophiaTX,2017-12-20,2018-07-08
SpankChain,2017-11-23,2018-07-08
Spectre,2017-01-25,2018-07-08
SportyFi,2017-12-12,2018-07-08
Starbase,2017-09-11,2018-07-08
Starta,2017-05-27,2018-07-08
Storiqa,2018-07-06,2018-07-06
Storj,2017-06-30,2018-07-08
Storm,2017-12-20,2018-07-08
Stox,2015-05-13,2018-07-08
SunContract,2017-08-09,2018-07-08
